iter	Passed	Remaining
0	447	447147
1	449	224464
2	452	150460
3	456	113683
4	498	99247
5	501	83141
6	520	73781
7	521	64718
8	535	58957
9	546	54144
10	552	49695
11	559	46032
12	560	42586
13	562	39625
14	567	37287
15	569	35021
16	570	33007
17	574	31330
18	576	29751
19	581	28502
20	583	27218
21	585	26022
22	595	25292
23	600	24437
24	606	23654
25	609	22822
26	611	22030
27	615	21367
28	617	20665
29	620	20063
30	623	19488
31	626	18938
32	638	18719
33	642	18248
34	649	17900
35	671	17979
36	673	17523
37	688	17427
38	692	17064
39	695	16691
40	706	16515
41	708	16158
42	718	15984
43	719	15636
44	725	15401
45	728	15100
46	729	14800
47	741	14702
48	742	14413
49	744	14137
50	745	13880
51	747	13623
52	750	13413
53	753	13203
54	755	12984
55	758	12792
56	760	12579
57	761	12371
58	775	12362
59	784	12294
60	787	12120
61	792	11990
62	801	11920
63	806	11788
64	807	11617
65	809	11453
66	813	11328
67	815	11174
68	816	11019
69	818	10867
70	820	10738
71	822	10599
72	823	10462
73	825	10327
74	830	10243
75	832	10115
76	833	9991
77	836	9884
78	837	9766
79	839	9650
80	840	9535
81	844	9456
82	845	9339
83	846	9232
84	848	9132
85	850	9044
86	852	8947
87	853	8850
88	855	8760
89	859	8695
90	861	8605
91	862	8517
92	864	8429
93	867	8357
94	868	8273
95	870	8195
96	882	8212
97	889	8190
98	892	8124
99	894	8051
100	896	7978
101	898	7913
102	900	7842
103	902	7773
104	906	7722
105	907	7656
106	915	7636
107	916	7572
108	937	7666
109	943	7629
110	944	7566
111	957	7590
112	966	7584
113	973	7563
114	977	7520
115	979	7467
116	986	7446
117	988	7385
118	992	7345
119	994	7290
120	997	7245
121	998	7187
122	1000	7132
123	1013	7162
124	1015	7109
125	1017	7057
126	1029	7074
127	1032	7035
128	1046	7069
129	1050	7028
130	1053	6991
131	1058	6957
132	1059	6909
133	1065	6885
134	1071	6868
135	1075	6829
136	1076	6782
137	1085	6780
138	1087	6734
139	1093	6719
140	1097	6689
141	1098	6639
142	1102	6608
143	1117	6644
144	1119	6601
145	1134	6638
146	1138	6608
147	1144	6589
148	1148	6559
149	1153	6537
150	1155	6496
151	1163	6490
152	1169	6473
153	1174	6454
154	1178	6423
155	1181	6391
156	1194	6413
157	1232	6565
158	1233	6526
159	1247	6547
160	1256	6547
161	1267	6554
162	1276	6553
163	1280	6526
164	1286	6508
165	1287	6470
166	1289	6431
167	1290	6393
168	1294	6364
169	1304	6370
170	1311	6359
171	1314	6325
172	1316	6290
173	1342	6371
174	1343	6335
175	1351	6325
176	1354	6297
177	1356	6264
178	1358	6230
179	1359	6195
180	1361	6160
181	1363	6129
182	1371	6123
183	1377	6110
184	1379	6077
185	1389	6081
186	1391	6051
187	1396	6031
188	1398	6000
189	1400	5970
190	1402	5940
191	1404	5908
192	1405	5878
193	1408	5849
194	1412	5833
195	1414	5803
196	1416	5772
197	1419	5748
198	1421	5720
199	1423	5694
200	1425	5665
201	1427	5639
202	1430	5614
203	1432	5587
204	1433	5560
205	1438	5542
206	1440	5518
207	1447	5510
208	1456	5512
209	1458	5488
210	1461	5464
211	1463	5438
212	1464	5411
213	1468	5391
214	1469	5365
215	1471	5342
216	1480	5341
217	1482	5317
218	1488	5306
219	1491	5286
220	1493	5262
221	1494	5238
222	1496	5214
223	1498	5191
224	1499	5166
225	1501	5143
226	1503	5119
227	1505	5098
228	1508	5077
229	1510	5055
230	1511	5033
231	1513	5009
232	1515	4987
233	1517	4966
234	1518	4943
235	1520	4922
236	1522	4900
237	1524	4879
238	1525	4857
239	1526	4835
240	1529	4815
241	1530	4794
242	1532	4774
243	1534	4753
244	1536	4734
245	1538	4714
246	1539	4694
247	1545	4687
248	1547	4668
249	1549	4649
250	1552	4633
251	1554	4613
252	1556	4594
253	1557	4574
254	1558	4554
255	1561	4537
256	1562	4518
257	1564	4500
258	1567	4483
259	1569	4465
260	1570	4446
261	1573	4432
262	1575	4413
263	1576	4394
264	1578	4378
265	1581	4363
266	1583	4346
267	1585	4329
268	1587	4313
269	1588	4296
